sequence_id,institute_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR2184229,Universidad Peruana Cayetano Heredia,PTAN-0028,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184229/ERR2184229_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184229/ERR2184229_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184233,Universidad Peruana Cayetano Heredia,PTAN-0032,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184233/ERR2184233_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184233/ERR2184233_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184261,Universidad Peruana Cayetano Heredia,PTAN-0060,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184261/ERR2184261_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184261/ERR2184261_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184219,Universidad Peruana Cayetano Heredia,PTAN-0018,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184219/ERR2184219_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184219/ERR2184219_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184295,Universidad Peruana Cayetano Heredia,PTAN-0094,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184295/ERR2184295_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184295/ERR2184295_2.fastq.gz",S,S,S,S,I,S,S,S,S,S,S,S,S,Peru
ERR2184225,Universidad Peruana Cayetano Heredia,PTAN-0024,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184225/ERR2184225_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184225/ERR2184225_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184292,Universidad Peruana Cayetano Heredia,PTAN-0091,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184292/ERR2184292_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184292/ERR2184292_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184269,Universidad Peruana Cayetano Heredia,PTAN-0068,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184269/ERR2184269_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184269/ERR2184269_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,NA,NA,Peru
ERR2184248,Universidad Peruana Cayetano Heredia,PTAN-0047,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184248/ERR2184248_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184248/ERR2184248_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184280,Universidad Peruana Cayetano Heredia,PTAN-0079,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184280/ERR2184280_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184280/ERR2184280_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184250,Universidad Peruana Cayetano Heredia,PTAN-0049,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184250/ERR2184250_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184250/ERR2184250_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184265,Universidad Peruana Cayetano Heredia,PTAN-0064,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184265/ERR2184265_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184265/ERR2184265_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184268,Universidad Peruana Cayetano Heredia,PTAN-0067,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184268/ERR2184268_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184268/ERR2184268_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184297,Universidad Peruana Cayetano Heredia,PTAN-0096,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184297/ERR2184297_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184297/ERR2184297_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184223,Universidad Peruana Cayetano Heredia,PTAN-0022,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184223/ERR2184223_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184223/ERR2184223_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,S,Peru
ERR2184289,Universidad Peruana Cayetano Heredia,PTAN-0088,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184289/ERR2184289_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184289/ERR2184289_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184278,Universidad Peruana Cayetano Heredia,PTAN-0077,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184278/ERR2184278_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184278/ERR2184278_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184285,Universidad Peruana Cayetano Heredia,PTAN-0084,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184285/ERR2184285_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184285/ERR2184285_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184235,Universidad Peruana Cayetano Heredia,PTAN-0034,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184235/ERR2184235_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184235/ERR2184235_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,S,Peru
ERR2184237,Universidad Peruana Cayetano Heredia,PTAN-0036,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184237/ERR2184237_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184237/ERR2184237_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184291,Universidad Peruana Cayetano Heredia,PTAN-0090,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184291/ERR2184291_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184291/ERR2184291_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184271,Universidad Peruana Cayetano Heredia,PTAN-0070,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184271/ERR2184271_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184271/ERR2184271_2.fastq.gz",S,S,S,S,S,S,S,NA,S,S,S,S,S,Peru
ERR2184272,Universidad Peruana Cayetano Heredia,PTAN-0071,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184272/ERR2184272_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184272/ERR2184272_2.fastq.gz",S,S,S,S,S,S,R,S,S,S,S,S,S,Peru
ERR2184293,Universidad Peruana Cayetano Heredia,PTAN-0092,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184293/ERR2184293_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2184293/ERR2184293_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184298,Universidad Peruana Cayetano Heredia,PTAN-0097,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184298/ERR2184298_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2184298/ERR2184298_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184296,Universidad Peruana Cayetano Heredia,PTAN-0095,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184296/ERR2184296_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184296/ERR2184296_2.fastq.gz",S,S,S,S,S,R,S,S,S,S,S,S,S,Peru
ERR2184290,Universidad Peruana Cayetano Heredia,PTAN-0089,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184290/ERR2184290_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2184290/ERR2184290_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184275,Universidad Peruana Cayetano Heredia,PTAN-0074,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184275/ERR2184275_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184275/ERR2184275_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184284,Universidad Peruana Cayetano Heredia,PTAN-0083,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184284/ERR2184284_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2184284/ERR2184284_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184249,Universidad Peruana Cayetano Heredia,PTAN-0048,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184249/ERR2184249_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184249/ERR2184249_2.fastq.gz",S,S,S,NA,S,S,S,S,S,S,S,S,S,Peru
ERR2184277,Universidad Peruana Cayetano Heredia,PTAN-0076,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184277/ERR2184277_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2184277/ERR2184277_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184281,Universidad Peruana Cayetano Heredia,PTAN-0080,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184281/ERR2184281_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2184281/ERR2184281_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184282,Universidad Peruana Cayetano Heredia,PTAN-0081,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184282/ERR2184282_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184282/ERR2184282_2.fastq.gz",S,S,S,S,S,R,S,S,S,S,S,R,S,Peru
ERR2184222,Universidad Peruana Cayetano Heredia,PTAN-0021,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184222/ERR2184222_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2184222/ERR2184222_2.fastq.gz",S,S,S,S,R,S,R,S,S,S,S,R,S,Peru
ERR2184305,Universidad Peruana Cayetano Heredia,PTAN-0104,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184305/ERR2184305_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2184305/ERR2184305_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184279,Universidad Peruana Cayetano Heredia,PTAN-0078,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184279/ERR2184279_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2184279/ERR2184279_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Peru
ERR2184286,Universidad Peruana Cayetano Heredia,PTAN-0085,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184286/ERR2184286_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2184286/ERR2184286_2.fastq.gz",S,S,S,S,R,R,R,S,R,S,R,R,R,Peru
