sequence_id,country_id,strain_id,original_sequence,Amikacin,Bedaquiline,Clofazimine,Delamanid,Ethambutol,Ethionamide,Isoniazid,Kanamycin,Levofloxacin,Linezolid,Moxifloxacin,Rifampicin,Rifabutin,group_key
ERR4797301,India,1156,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797301/ERR4797301_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/001/ERR4797301/ERR4797301_2.fastq.gz",S,S,S,R,R,R,R,S,R,S,S,R,R,Foundation for Medical Research India
ERR4797354,India,1167,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797354/ERR4797354_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797354/ERR4797354_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797262,India,1162,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797262/ERR4797262_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797262/ERR4797262_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797286,India,1163,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797286/ERR4797286_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797286/ERR4797286_2.fastq.gz",S,S,S,S,I,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797267,India,1220,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797267/ERR4797267_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797267/ERR4797267_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797299,India,1070,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797299/ERR4797299_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797299/ERR4797299_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797348,India,1185,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797348/ERR4797348_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797348/ERR4797348_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797359,India,1019,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797359/ERR4797359_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797359/ERR4797359_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797288,India,1077,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797288/ERR4797288_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797288/ERR4797288_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797274,India,1141,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797274/ERR4797274_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/004/ERR4797274/ERR4797274_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797352,India,1086,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797352/ERR4797352_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797352/ERR4797352_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797316,India,1047,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797316/ERR4797316_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797316/ERR4797316_2.fastq.gz",R,S,R,R,I,R,R,S,R,R,S,R,R,Foundation for Medical Research India
ERR4797336,India,1021,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797336/ERR4797336_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797336/ERR4797336_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797303,India,1010,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797303/ERR4797303_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797303/ERR4797303_2.fastq.gz",R,S,S,S,R,R,R,R,R,S,R,R,R,Foundation for Medical Research India
ERR4797282,India,1092,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797282/ERR4797282_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/002/ERR4797282/ERR4797282_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,NA,S,Foundation for Medical Research India
ERR4797323,India,1114,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797323/ERR4797323_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797323/ERR4797323_2.fastq.gz",S,S,S,S,I,S,R,S,S,S,S,R,R,Foundation for Medical Research India
ERR4797329,India,1191,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797329/ERR4797329_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/009/ERR4797329/ERR4797329_2.fastq.gz",S,S,S,NA,R,S,R,S,R,S,R,R,R,Foundation for Medical Research India
ERR4797325,India,1147,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797325/ERR4797325_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/005/ERR4797325/ERR4797325_2.fastq.gz",S,S,S,S,R,R,R,R,R,S,R,R,R,Foundation for Medical Research India
ERR4797308,India,1201,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797308/ERR4797308_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/008/ERR4797308/ERR4797308_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
ERR4797326,India,1020,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797326/ERR4797326_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/006/ERR4797326/ERR4797326_2.fastq.gz",S,S,S,S,R,S,R,S,R,S,S,R,R,Foundation for Medical Research India
ERR4797343,India,1004,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797343/ERR4797343_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/003/ERR4797343/ERR4797343_2.fastq.gz",S,NA,S,S,R,S,R,S,R,S,S,R,R,Foundation for Medical Research India
ERR4797347,India,1168,"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797347/ERR4797347_1.fastq.gz, ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR479/007/ERR4797347/ERR4797347_2.fastq.gz",S,S,S,S,S,S,S,S,S,S,S,S,S,Foundation for Medical Research India
